Human Marker Symbol,Human Entrez Gene ID,Mouse Marker Symbol,MGI Marker Accession ID
MIR28,407020,Mir28a,  MGI:3619267
MIR2861,100422910,Mir2861,  MGI:4441431
MIR296,407022,Mir296,  MGI:3619269
MIR298,100126296,Mir298,  MGI:3619321
MIR299,407023,Mir299a,  MGI:3619322
MIR29A,407021,Mir29a,  MGI:2676904
MIR29B1,407024,Mir29b-1,  MGI:2676905
MIR29B2,407025,Mir29b-2,  MGI:3619047
MIR29C,407026,Mir29c,  MGI:2676906
MIR301A,407027,Mir301,  MGI:3619324
MIR301B,100126318,Mir301b,  MGI:3691602
MIR302A,407028,Mir302a,  MGI:3619325
MIR302B,442894,Mir302b,  MGI:3619326
MIR302C,442895,Mir302c,  MGI:3619327
MIR302D,442896,Mir302d,  MGI:3619328
MIR3059,113839519,Mir3059,  MGI:4834225
MIR3064,100616387,Mir3064,  MGI:4834237
MIR3065,100422915,Mir3065,  MGI:4834238
MIR3074,100422842,Mir3074-1,  MGI:4834247
MIR3085,113839520,Mir3085,  MGI:4834259
MIR30A,407029,Mir30a,  MGI:2676907
MIR30B,407030,Mir30b,  MGI:2676908
MIR30C1,407031,Mir30c-1,  MGI:2676909
MIR30C2,407032,Mir30c-2,  MGI:3619048
MIR30D,407033,Mir30d,  MGI:2676910
MIR30E,407034,Mir30e,  MGI:3619329
MIR31,407035,Mir31,  MGI:3619330
MIR3154,100422893,Gm23363,  MGI:5453140
MIR32,407036,Mir32,  MGI:3619331
MIR320A,407037,Mir320,  MGI:3619332
MIR323A,442897,Mir323,  MGI:3619334
MIR324,442898,Mir324,  MGI:3619335
MIR325,442899,Mir325,  MGI:3619336
MIR326,442900,Mir326,  MGI:3619338
MIR328,442901,Mir328,  MGI:3619340
MIR329-1,574408,Mir329,  MGI:3619341
MIR329-2,574409,Mir329,  MGI:3619341
MIR330,442902,Mir330,  MGI:3619345
MIR331,442903,Mir331,  MGI:3619347
MIR335,442904,Mir335,  MGI:3619348
MIR337,442905,Mir337,  MGI:3619351
MIR338,442906,Mir338,  MGI:3619352
MIR339,442907,Mir339,  MGI:3619354
MIR33A,407039,Mir33,  MGI:3619343
MIR340,442908,Mir340,  MGI:3619355
MIR342,442909,Mir342,  MGI:3619358
MIR345,442910,Mir345,  MGI:3619361
MIR346,442911,Mir346,  MGI:3619362
MIR34A,407040,Mir34a,  MGI:3619363
MIR34B,407041,Mir34b,  MGI:3619364
MIR34C,407042,Mir34c,  MGI:3619365
MIR361,494323,Mir361,  MGI:3619368
MIR3618,100500860,Gm24572,  MGI:5454349
MIR362,574030,Mir362,  MGI:3619369
MIR363,574031,Mir363,  MGI:3619370
MIR365A,100126355,Mir365-1,  MGI:3619371
MIR365B,100126356,Mir365-2,  MGI:3619372
MIR367,442912,Mir367,  MGI:3619373
MIR369,442914,Mir369,  MGI:3619374
MIR370,442915,Mir370,  MGI:3619375
MIR374B,100126317,Mir374b,  MGI:3629958
MIR374C,100500807,Mir374c,  MGI:4834330
MIR375,494324,Mir375,  MGI:3619376
MIR376A1,494325,Mir376a,  MGI:3619377
MIR376B,574435,Mir376b,  MGI:3619378
MIR376C,442913,Mir376c,  MGI:3619381
MIR377,494326,Mir377,  MGI:3619382
MIR378A,494327,Mir378a,  MGI:3617791
MIR379,494328,Mir379,  MGI:3619386
MIR380,494329,Mir380,  MGI:3619389
MIR381,494330,Mir381,  MGI:3619391
MIR382,494331,Mir382,  MGI:3619392
MIR383,494332,Mir383,  MGI:3619393
MIR384,494333,Mir384,  MGI:3619394
MIR409,574413,Mir409,  MGI:3619396
MIR410,574434,Mir410,  MGI:3619398
MIR411,693121,Mir411,  MGI:3619399
MIR412,574433,Mir412,  MGI:3619400
MIR421,693122,Mir421,  MGI:3718516
MIR423,494335,Mir423,  MGI:3629888
MIR424,494336,Mir322,  MGI:3619333
MIR425,494337,Mir425,  MGI:3619401
MIR429,554210,Mir429,  MGI:3619402
MIR431,574038,Mir431,  MGI:3619403
MIR432,574451,Mir432,  MGI:4358944
MIR433,574034,Mir433,  MGI:3619404
MIR4435-2HG,541471,Morrbid,  MGI:3652191
MIR448,554212,Mir448,  MGI:3619406
MIR449A,554213,Mir449a,  MGI:3619407
MIR449B,693123,Mir449b,  MGI:3718803
MIR449C,100313923,Mir449c,  MGI:3639505
MIR450A1,554214,Mir450-1,  MGI:3619410
MIR450A2,574505,Mir450-2,  MGI:3619411
MIR450B,100126302,Mir450b,  MGI:3629953
MIR451A,574411,Mir451a,  MGI:3619412
MIR451B,100616273,Mir451b,  MGI:5562734
MIR452,574412,Mir452,  MGI:3619450
MIR455,619556,Mir455,  MGI:3629649
MIR483,619552,Mir483,  MGI:3619420
MIR484,619553,Mir484,  MGI:3619421
MIR485,574436,Mir485,  MGI:3619422
MIR486-1,619554,Mir486,  MGI:3619423
MIR486-2,102465696,Mir3107,  MGI:4834325
MIR487B,664616,Mir487b,  MGI:3619424
MIR488,574441,Mir488,  MGI:3629597
MIR489,574442,Mir489,  MGI:3619425
MIR490,574443,Mir490,  MGI:3629662
MIR491,574444,Mir491,  MGI:3629651
MIR493,574450,Mir493,  MGI:3718542
MIR494,574452,Mir494,  MGI:3619426
MIR495,574453,Mir495,  MGI:3629903
MIR496,574454,Mir496a,  MGI:3629907
MIR497,574456,Mir497,  MGI:3629886
MIR499A,574501,Mir499,  MGI:3629633
MIR500A,574502,Mir500,  MGI:3624341
MIR500B,100422911,Mir500,  MGI:3624341
MIR501,574503,Mir501,  MGI:3629949
MIR503,574506,Mir503,  MGI:3619428
MIR504,574507,Mir504,  MGI:3718543
MIR505,574508,Mir505,  MGI:3629955
MIR511,574445,Mir511,  MGI:3718546
MIR532,693124,Mir532,  MGI:3629950
MIR539,664612,Mir539,  MGI:3619427
MIR541,100126308,Mir541,  MGI:3619430
MIR542,664617,Mir542,  MGI:3619431
MIR543,100126335,Mir543,  MGI:3619432
MIR544A,664613,Mir544,  MGI:3718547
MIR551B,693136,Mir551b,  MGI:3691605
MIR568,693153,Mir568,  MGI:3718548
MIR574,693159,Mir574,  MGI:3718549
MIR582,693167,Mir582,  MGI:3718550
MIR590,693175,Mir590,  MGI:3718552
MIR592,693177,Mir592,  MGI:3629661
MIR598,693183,Mir598,  MGI:3718554
MIR599,693184,Mir599,  MGI:4358945
MIR615,693200,Mir615,  MGI:3629927
MIR652,724022,Mir652,  MGI:3624350
MIR653,724023,Mir653,  MGI:3718555
MIR654,724024,Mir654,  MGI:3718556
MIR664B,100847052,Mir664,  MGI:4358947
MIR665,100126315,Mir665,  MGI:3629896
MIR668,768214,Mir668,  MGI:3629905
MIR670,100313777,Mir670,  MGI:3629629
MIR670HG,100507261,Mir670hg,  MGI:3041234
MIR671,768213,Mir671,  MGI:3629656
MIR6715A,102466189,Mir6715,  MGI:5530856
MIR675,100033819,Mir675,  MGI:3629709
MIR676,100500887,Mir676,  MGI:3629957
MIR708,100126333,Mir708,  MGI:3629686
MIR7-1,407043,Mir7-1,  MGI:3619436
MIR711,100313843,Mir711,  MGI:3629883
MIR718,100313781,Mir718,  MGI:3629956
MIR7-2,407044,Mir7-1,  MGI:3619436
MIR7-3,407045,Mir7b,  MGI:3619435
MIR744,100126313,Mir744,  MGI:3691603
MIR758,768212,Mir758,  MGI:3691604
MIR759,100313778,Mir759,  MGI:3691612
MIR760,100126348,Mir760,  MGI:3691613
MIR761,100313892,Mir761,  MGI:3691609
MIR762,100313837,Mir762,  MGI:3691607
MIR764,100313838,Mir764,  MGI:3691610
MIR767,768215,Mir767,  MGI:4358946
MIR770,768222,Mir770,  MGI:3691606
MIR802,768219,Mir802,  MGI:3691608
MIR873,100126316,Mir873a,  MGI:3718563
MIR874,100126343,Mir874,  MGI:3718564
MIR875,100126309,Mir875,  MGI:3718565
MIR876,100126310,Mir876,  MGI:3718566
MIR877,100126314,Mir877,  MGI:3718567
MIR9-1,407046,Mir9-1,  MGI:2676911
MIR9-2,407047,Mir9-2,  MGI:3619442
MIR92A1,407048,Mir92-1,  MGI:3629918
MIR92A2,407049,Mir92-2,  MGI:3619438
MIR92B,693235,Mir92b,  MGI:3718577
MIR93,407050,Mir93,  MGI:3619439
MIR9-3,407051,Mir9-3,  MGI:3619443
MIR96,407053,Mir96,  MGI:3619440
MIR98,407054,Mir98,  MGI:3619441
MIR99A,407055,Mir99a,  MGI:2676912
MIR99B,407056,Mir99b,  MGI:2676913
MIRLET7A1,406881,Mirlet7a-1,  MGI:2676793
MIRLET7A2,406882,Mirlet7a-2,  MGI:3619049
MIRLET7A3,406883,Mirlet7c-2,  MGI:3619050
MIRLET7B,406884,Mirlet7b,  MGI:2676794
MIRLET7C,406885,Mirlet7c-1,  MGI:2676795
MIRLET7D,406886,Mirlet7d,  MGI:2676796
MIRLET7E,406887,Mirlet7e,  MGI:2676797
MIRLET7F1,406888,Mirlet7f-1,  MGI:2676798
MIRLET7F2,406889,Mirlet7f-2,  MGI:2676799
MIRLET7G,406890,Mirlet7g,  MGI:2676800
MIRLET7I,406891,Mirlet7i,  MGI:2676802
MIS12,79003,Mis12,  MGI:1914389
MIS18A,54069,Mis18a,  MGI:1913828
MIS18BP1,55320,Mis18bp1,  MGI:2145099
MISP,126353,Misp,  MGI:1926156
MITD1,129531,Mitd1,  MGI:1916278
MITF,4286,Mitf,  MGI:104554
MIXL1,83881,Mixl1,  MGI:1351322
MKI67,4288,Mki67,  MGI:106035
MKKS,8195,Mkks,  MGI:1891836
MKLN1,4289,Mkln1,  MGI:1351638
MKNK1,8569,Mknk1,  MGI:894316
MKNK2,2872,Mknk2,  MGI:894279
MKRN1,23608,Mkrn1,  MGI:1859353
MKRN2,23609,Mkrn2,  MGI:1914277
MKRN2OS,100129480,Mkrn2os,  MGI:1917541
MKRN3,7681,Mkrn3,  MGI:2181178
MKS1,54903,Mks1,  MGI:3584243
MKX,283078,Mkx,  MGI:2687286
MLANA,2315,Mlana,  MGI:108454
MLC1,23209,Mlc1,  MGI:2157910
MLEC,9761,Mlec,  MGI:1924015
MLF1,4291,Mlf1,  MGI:1341819
MLF2,8079,Mlf2,  MGI:1353554
MLH1,4292,Mlh1,  MGI:101938
MLH3,27030,Mlh3,  MGI:1353455
MLIP,90523,Mlip,  MGI:1916892
MLKL,197259,Mlkl,  MGI:1921818
MLLT1,4298,Mllt1,  MGI:1927238
MLLT10,8028,Mllt10,  MGI:1329038
MLLT11,10962,Mllt11,  MGI:1929671
MLLT3,4300,Mllt3,  MGI:1917372
MLLT6,4302,Mllt6,  MGI:1935145
MLPH,79083,Mlph,  MGI:2176380
MLST8,64223,Mlst8,  MGI:1929514
MLX,6945,Mlx,  MGI:108398
MLXIP,22877,Mlxip,  MGI:2141183
MLXIPL,51085,Mlxipl,  MGI:1927999
MLYCD,23417,Mlycd,  MGI:1928485
MMAA,166785,Mmaa,  MGI:1923805
MMAB,326625,Mmab,  MGI:1924947
MMACHC,25974,Mmachc,  MGI:1914346
MMADHC,27249,Mmadhc,  MGI:1923786
MMD,23531,Mmd,  MGI:1914718
MMD2,221938,Mmd2,  MGI:1922354
MME,4311,Mme,  MGI:97004
MMEL1,79258,Mmel1,  MGI:1351603
MMGT1,93380,Mmgt1,  MGI:2384305
MMP1,4312,Mmp1a,  MGI:1933846
MMP1,4312,Mmp1b,  MGI:1933847
MMP10,4319,Mmp10,  MGI:97007
MMP11,4320,Mmp11,  MGI:97008
MMP12,4321,Mmp12,  MGI:97005
MMP13,4322,Mmp13,  MGI:1340026
MMP14,4323,Mmp14,  MGI:101900
MMP15,4324,Mmp15,  MGI:109320
MMP16,4325,Mmp16,  MGI:1276107
MMP17,4326,Mmp17,  MGI:1346076
MMP19,4327,Mmp19,  MGI:1927899
MMP2,4313,Mmp2,  MGI:97009
MMP20,9313,Mmp20,  MGI:1353466
MMP21,118856,Mmp21,  MGI:2664387
MMP23B,8510,Mmp23,  MGI:1347361
MMP24,10893,Mmp24,  MGI:1341867
MMP25,64386,Mmp25,  MGI:2443938
MMP27,64066,Mmp27,  MGI:3039232
MMP28,79148,Mmp28,  MGI:2153062
MMP3,4314,Mmp3,  MGI:97010
MMP7,4316,Mmp7,  MGI:103189
MMP8,4317,Mmp8,  MGI:1202395
MMP9,4318,Mmp9,  MGI:97011
MMRN1,22915,Mmrn1,  MGI:1918195
MMRN2,79812,Mmrn2,  MGI:2385618
MMS19,64210,Mms19,  MGI:1919449
MMS22L,253714,Mms22l,  MGI:2684980
MMUT,4594,Mmut,  MGI:97239
MN1,4330,Mn1,  MGI:1261813
MNAT1,4331,Mnat1,  MGI:106207
MND1,84057,Mnd1,  MGI:1924165
MNS1,55329,Mns1,  MGI:107933
MNT,4335,Mnt,  MGI:109150
MNX1,3110,Mnx1,  MGI:109160
MOAP1,64112,Moap1,  MGI:1915555
MOB1A,55233,Mob1a,  MGI:2442631
MOB1B,92597,Mob1b,  MGI:1915723
MOB2,81532,Mob2,  MGI:1919891
MOB3A,126308,Mob3a,  MGI:3050117
MOB3B,79817,Mob3b,  MGI:2664539
MOB3C,148932,Mob3c,  MGI:2140623
MOB4,25843,Mob4,  MGI:104899
MOBP,4336,Mobp,  MGI:108511
MOCOS,55034,Mocos,  MGI:1915841
MOCS1,4337,Mocs1,  MGI:1928904
MOCS2,4338,Mocs2,  MGI:1336894
MOCS3,27304,Mocs3,  MGI:1916622
MOG,4340,Mog,  MGI:97435
MOGAT1,116255,Mogat1,  MGI:1915643
MOGAT2,80168,Mogat2,  MGI:2663253
MOGS,7841,Mogs,  MGI:1929872
MOK,5891,Mok,  MGI:1336881
MON1A,84315,Mon1a,  MGI:1920075
MON1B,22879,Mon1b,  MGI:1923231
MON2,23041,Mon2,  MGI:1914324
MORC1,27136,Morc1,  MGI:1316740
MORC2,22880,Morc2a,  MGI:1921772
MORC3,23515,Morc3,  MGI:2136841
MORC4,79710,Morc4,  MGI:1922996
MORF4L1,10933,Morf4l1,  MGI:1096551
MORF4L2,9643,Morf4l2,  MGI:1927167
MORN1,79906,Morn1,  MGI:1924116
MORN2,729967,Morn2,  MGI:2674071
MORN3,283385,Morn3,  MGI:1922140
MORN4,118812,Morn4,  MGI:2449568
MORN5,254956,Morn5,  MGI:1922745
MOS,4342,Mos,  MGI:97052
MOSMO,730094,Mosmo,  MGI:2446240
MOSPD1,56180,Mospd1,  MGI:1917630
MOSPD2,158747,Mospd2,  MGI:1924013
MOSPD3,64598,Mospd3,  MGI:1916179
MOV10,4343,Mov10,  MGI:97054
MOV10L1,54456,Mov10l1,  MGI:1891384
MOXD1,26002,Moxd1,  MGI:1921582
MOXD2P,100289017,Moxd2,  MGI:2388042
MPC1,51660,Mpc1,  MGI:1915240
MPC2,25874,Mpc2,  MGI:1917706
MPDU1,9526,Mpdu1,  MGI:1346040
MPDZ,8777,Mpdz,  MGI:1343489
MPEG1,219972,Mpeg1,  MGI:1333743
MPG,4350,Mpg,  MGI:97073
MPHOSPH10,10199,Mphosph10,  MGI:1915223
MPHOSPH6,10200,Mphosph6,  MGI:1915783
MPHOSPH8,54737,Mphosph8,  MGI:1922589
MPHOSPH9,10198,Mphosph9,  MGI:2443138
MPI,4351,Mpi,  MGI:97075
MPIG6B,80739,Mpig6b,  MGI:2146995
MPL,4352,Mpl,  MGI:97076
MPLKIP,136647,Mplkip,  MGI:1913558
MPND,84954,Mpnd,  MGI:1915297
MPO,4353,Mpo,  MGI:97137
MPP1,4354,Mpp1,  MGI:105941
MPP2,4355,Mpp2,  MGI:1858257
MPP3,4356,Mpp3,  MGI:1328354
MPP4,58538,Mpp4,  MGI:2386681
MPP5,64398,Mpp5,  MGI:1927339
MPP6,51678,Mpp6,  MGI:1927340
MPP7,143098,Mpp7,  MGI:1922989
MPPE1,65258,Mppe1,  MGI:2661311
MPPED1,758,Mpped1,  MGI:106316
MPPED2,744,Mpped2,  MGI:1924265
MPRIP,23164,Mprip,  MGI:1349438
MPST,4357,Mpst,  MGI:2179733
MPTX1,649458,Mptx1,  MGI:1913539
MPV17,4358,Mpv17,  MGI:97138
MPV17L,255027,Mpv17l,  MGI:2135951
MPV17L2,84769,Mpv17l2,  MGI:2681846
MPZ,4359,Mpz,  MGI:103177
MPZL1,9019,Mpzl1,  MGI:1915731
MPZL2,10205,Mpzl2,  MGI:1289160
MPZL3,196264,Mpzl3,  MGI:2442647
MR1,3140,Mr1,  MGI:1195463
MRAP,56246,Mrap,  MGI:1924287
MRAP2,112609,Mrap2,  MGI:3609239
MRAS,22808,Mras,  MGI:1100856
MRC1,4360,Mrc1,  MGI:97142
MRC2,9902,Mrc2,  MGI:107818
MRE11,4361,Mre11a,  MGI:1100512
MREG,55686,Mreg,  MGI:2151839
MRFAP1,93621,Mrfap1,  MGI:1914818
MRGBP,55257,Mrgbp,  MGI:1920497
MRGPRD,116512,Mrgprd,  MGI:3033142
MRGPRE,116534,Mrgpre,  MGI:2441884
MRGPRF,116535,Mrgprf,  MGI:2384823
MRGPRG,386746,Mrgprg,  MGI:3033145
MRGPRX1,259249,Mrgprb2,  MGI:2441674
MRGPRX2,117194,Mrgprb1,  MGI:3033115
MRGPRX2,117194,Mrgprx2,  MGI:3588270
MRGPRX3,117195,Mrgpra1,  MGI:3033095
MRGPRX3,117195,Mrgpra2a,  MGI:3821888
MRGPRX3,117195,Mrgpra2b,  MGI:3033098
MRGPRX3,117195,Mrgpra9,  MGI:3033148
MRGPRX4,117196,Mrgprx1,  MGI:3033139
MRI1,84245,Mri1,  MGI:1915123
MRLN,100507027,Mrln,  MGI:1916813
MRM1,79922,Mrm1,  MGI:2443470
MRM2,29960,Mrm2,  MGI:1915267
MRM3,55178,Mrm3,  MGI:1914640
MRNIP,51149,Mrnip,  MGI:1915317
MRO,83876,Mro,  MGI:2152817
MROH1,727957,Mroh1,  MGI:2442558
MROH2A,339766,Mroh2a,  MGI:3705228
MROH2B,133558,Mroh2b,  MGI:1921905
MROH3P,647215,Mroh3,  MGI:1923672
MROH4P,101154686,Mroh4,  MGI:1916689
MROH5,389690,Mroh5,  MGI:2685474
MROH6,642475,Mroh6,  MGI:5011755
MROH7,374977,Mroh7,  MGI:2685873
MROH8,140699,Mroh8,  MGI:3603828
MROH9,80133,Mroh9,  MGI:1925508
MRPL1,65008,Mrpl1,  MGI:2137202
MRPL10,124995,Mrpl10,  MGI:1333801
MRPL11,65003,Mrpl11,  MGI:2137215
MRPL12,6182,Mrpl12,  MGI:1926273
MRPL13,28998,Mrpl13,  MGI:2137218
MRPL14,64928,Mrpl14,  MGI:1333864
MRPL15,29088,Mrpl15,  MGI:1351639
MRPL16,54948,Mrpl16,  MGI:2137219
MRPL17,63875,Mrpl17,  MGI:1351608
MRPL18,29074,Mrpl18,  MGI:1914931
MRPL19,9801,Mrpl19,  MGI:1926274
MRPL2,51069,Mrpl2,  MGI:1351622
MRPL20,55052,Mrpl20,  MGI:2137221
MRPL21,219927,Mrpl21,  MGI:2660674
MRPL22,29093,Mrpl22,  MGI:1333794
MRPL23,6150,Mrpl23,  MGI:1196612
MRPL24,79590,Mrpl24,  MGI:1914957
MRPL27,51264,Mrpl27,  MGI:2137224
MRPL28,10573,Mrpl28,  MGI:1915861
MRPL3,11222,Mrpl3,  MGI:2137204
MRPL30,51263,Mrpl30,  MGI:1333820
MRPL32,64983,Mrpl32,  MGI:2137226
MRPL33,9553,Mrpl33,  MGI:2137225
MRPL34,64981,Mrpl34,  MGI:2137227
MRPL35,51318,Mrpl35,  MGI:1913473
MRPL36,64979,Mrpl36,  MGI:2137228
MRPL37,51253,Mrpl37,  MGI:1926268
MRPL38,64978,Mrpl38,  MGI:1926269
MRPL39,54148,Mrpl39,  MGI:1351620
MRPL4,51073,Mrpl4,  MGI:2137210
MRPL40,64976,Mrpl40,  MGI:1332635
MRPL41,64975,Mrpl41,  MGI:1333816
MRPL42,28977,Mrpl42,  MGI:1333774
MRPL43,84545,Mrpl43,  MGI:2137229
MRPL44,65080,Mrpl44,  MGI:1916413
MRPL45,84311,Mrpl45,  MGI:1914286
MRPL46,26589,Mrpl46,  MGI:1914558
MRPL47,57129,Mrpl47,  MGI:1921850
MRPL48,51642,Mrpl48,  MGI:1289321
MRPL49,740,Mrpl49,  MGI:108180
MRPL50,54534,Mrpl50,  MGI:107329
MRPL51,51258,Mrpl51,  MGI:1913743
MRPL52,122704,Mrpl52,  MGI:1916086
MRPL53,116540,Mrpl53,  MGI:1915749
MRPL54,116541,Mrpl54,  MGI:1913297
MRPL55,128308,Mrpl55,  MGI:1914462
MRPL57,78988,Mrpl57,  MGI:1915090
MRPL58,3396,Mrpl58,  MGI:1915822
MRPL9,65005,Mrpl9,  MGI:2137211
MRPS10,55173,Mrps10,  MGI:1928139
MRPS11,64963,Mrps11,  MGI:1915244
MRPS12,6183,Mrps12,  MGI:1346333
MRPS14,63931,Mrps14,  MGI:1928141
MRPS15,64960,Mrps15,  MGI:1913657
MRPS16,51021,Mrps16,  MGI:1913492
MRPS17,51373,Mrps17,  MGI:1913508
MRPS18A,55168,Mrps18a,  MGI:1915815
MRPS18B,28973,Mrps18b,  MGI:1914223
MRPS18C,51023,Mrps18c,  MGI:1915985
MRPS2,51116,Mrps2,  MGI:2153089
MRPS21,54460,Mrps21,  MGI:1913542
MRPS22,56945,Mrps22,  MGI:1928137
MRPS23,51649,Mrps23,  MGI:1928138
MRPS24,64951,Mrps24,  MGI:1928142
MRPS25,64432,Mrps25,  MGI:1928140
MRPS26,64949,Mrps26,  MGI:1333830
MRPS27,23107,Mrps27,  MGI:1919064
MRPS28,28957,Mrps28,  MGI:1913480
MRPS30,10884,Mrps30,  MGI:1926237
MRPS31,10240,Mrps31,  MGI:1913153
MRPS33,51650,Mrps33,  MGI:1338046
MRPS34,65993,Mrps34,  MGI:1930188
MRPS35,60488,Mrps35,  MGI:2385255
MRPS36,92259,Mrps36,  MGI:1913378
MRPS5,64969,Mrps5,  MGI:1924971
MRPS6,64968,Mrps6,  MGI:2153111
MRPS7,51081,Mrps7,  MGI:1354367
MRPS9,64965,Mrps9,  MGI:1916777
MRRF,92399,Mrrf,  MGI:1915121
MRS2,57380,Mrs2,  MGI:2685748
MRTFA,57591,Mrtfa,  MGI:2384495
MRTFB,57496,Mrtfb,  MGI:3050795
MRTO4,51154,Mrto4,  MGI:1917152
MS4A1,931,Ms4a1,  MGI:88321
MS4A10,341116,Ms4a10,  MGI:1917076
MS4A12,54860,Ms4a12,  MGI:2685812
MS4A13,503497,Ms4a13,  MGI:1920716
MS4A14,84689,Ms4a14,  MGI:2686122
MS4A15,219995,Ms4a15,  MGI:3617853
MS4A18,728588,Ms4a18,  MGI:1923252
MS4A19P,116435280,Ms4a19,  MGI:1916666
MS4A2,2206,Ms4a2,  MGI:95495
MS4A3,932,Ms4a3,  MGI:2158468
MS4A4A,51338,Ms4a4a,  MGI:3643932
MS4A5,64232,Ms4a5,  MGI:2670985
MS4A6A,64231,Ms4a6b,  MGI:1917024
MS4A6A,64231,Ms4a6c,  MGI:2385644
MS4A6A,64231,Ms4a6d,  MGI:1916024
MS4A6E,245802,Ms4a6b,  MGI:1917024
MS4A6E,245802,Ms4a6c,  MGI:2385644
MS4A6E,245802,Ms4a6d,  MGI:1916024
MS4A7,58475,Ms4a7,  MGI:1918846
MS4A8,83661,Ms4a8a,  MGI:1927657
MSANTD1,345222,Msantd1,  MGI:2684990
MSANTD2,79684,Msantd2,  MGI:2384579
MSANTD3,91283,Msantd3,  MGI:1913915
MSANTD4,84437,Msantd4,  MGI:1925350
MSC,9242,Msc,  MGI:1333884
MSGN1,343930,Msgn1,  MGI:1860483
MSH2,4436,Msh2,  MGI:101816
MSH3,4437,Msh3,  MGI:109519
MSH4,4438,Msh4,  MGI:1860077
MSH5,4439,Msh5,  MGI:1329021
MSH6,2956,Msh6,  MGI:1343961
MSI1,4440,Msi1,  MGI:107376
MSI2,124540,Msi2,  MGI:1923876
MSL1,339287,Msl1,  MGI:1921276
MSL2,55167,Msl2,  MGI:1925103
MSL3,10943,Msl3,  MGI:1341851
MSLN,10232,Msln,  MGI:1888992
MSMB,4477,Msmb,  MGI:97166
MSMO1,6307,Msmo1,  MGI:1913484
MSMP,692094,Msmp,  MGI:3652339
MSN,4478,Msn,  MGI:97167
MSR1,4481,Msr1,  MGI:98257
MSRA,4482,Msra,  MGI:106916
MSRB1,51734,Msrb1,  MGI:1351642
MSRB2,22921,Msrb2,  MGI:1923717
MSRB3,253827,Msrb3,  MGI:2443538
MSS51,118490,Mss51,  MGI:1922093
MST1,4485,Mst1,  MGI:96080
MST1R,4486,Mst1r,  MGI:99614
MSTN,2660,Mstn,  MGI:95691
MSTO1,55154,Msto1,  MGI:2385175
MSX1,4487,Msx1,  MGI:97168
MSX2,4488,Msx2,  MGI:97169
MT1A,4489,Mt1,  MGI:97171
MT1B,4490,Mt1,  MGI:97171
MT1E,4493,Mt1,  MGI:97171
MT1F,4494,Mt1,  MGI:97171
MT1G,4495,Mt1,  MGI:97171
MT1H,4496,Mt1,  MGI:97171
MT1M,4499,Mt1,  MGI:97171
MT1X,4501,Mt1,  MGI:97171
MT2A,4502,Mt2,  MGI:97172
MT3,4504,Mt3,  MGI:97173
MT4,84560,Mt4,  MGI:99692
MTA1,9112,Mta1,  MGI:2150037
MTA2,9219,Mta2,  MGI:1346340
MTA3,57504,Mta3,  MGI:2151172
MTAP,4507,Mtap,  MGI:1914152
MTARC1,64757,Mtarc1,  MGI:1913362
MTARC2,54996,Mtarc2,  MGI:1914497
MTBP,27085,Mtbp,  MGI:2146005
MTCH1,23787,Mtch1,  MGI:1929261
MTCH2,23788,Mtch2,  MGI:1929260
MTCL1,23255,Mtcl1,  MGI:1915867
MTCP1,4515,Mtcp1,  MGI:102699
MTDH,92140,Mtdh,  MGI:1914404
MTERF1,7978,Mthfs,  MGI:1340032
MTERF2,80298,Mterf2,  MGI:1921488
MTERF3,51001,Mterf3,  MGI:1913660
MTERF4,130916,Mterf4,  MGI:1918355
MTF1,4520,Mtf1,  MGI:101786
MTF2,22823,Mtf2,  MGI:105050
MTFMT,123263,Mtfmt,  MGI:1916856
MTFP1,51537,Mtfp1,  MGI:1916686
MTFR1,9650,Mtfr1,  MGI:1914722
MTFR1L,56181,Mtfr1l,  MGI:1924074
MTFR2,113115,Mtfr2,  MGI:1919054
MTG1,92170,Mtg1,  MGI:2685015
MTG2,26164,Mtg2,  MGI:106565
MTHFD1,4522,Mthfd1,  MGI:1342005
MTHFD1L,25902,Mthfd1l,  MGI:1924836
MTHFD2,10797,Mthfd2,  MGI:1338850
MTHFD2L,441024,Mthfd2l,  MGI:1915871
MTHFR,4524,Mthfr,  MGI:106639
MTHFS,10588,Mthfs,  MGI:1340032
MTHFSD,64779,Mthfsd,  MGI:2679252
MTIF2,4528,Mtif2,  MGI:1924034
MTIF3,219402,Mtif3,  MGI:1923616
MTM1,4534,Mtm1,  MGI:1099452
MTMR1,8776,Mtmr1,  MGI:1858271
MTMR10,54893,Mtmr10,  MGI:2142292
MTMR11,10903,Mtmr11,  MGI:2652817
MTMR12,54545,Mtmr12,  MGI:2443034
MTMR14,64419,Mtmr14,  MGI:1916075
MTMR2,8898,Mtmr2,  MGI:1924366
MTMR3,8897,Mtmr3,  MGI:1921552
MTMR4,9110,Mtmr4,  MGI:2180699
MTMR6,9107,Mtmr6,  MGI:2145637
MTMR7,9108,Mtmr7,  MGI:1891693
MTMR9,66036,Mtmr9,  MGI:2442842
MTNR1A,4543,Mtnr1a,  MGI:102967
MTNR1B,4544,Mtnr1b,  MGI:2181726
MTO1,25821,Mto1,  MGI:1915541
MTOR,2475,Mtor,  MGI:1928394
MTPAP,55149,Mtpap,  MGI:1914690
MTPN,136319,Mtpn,  MGI:99445
MTR,4548,Mtr,  MGI:894292
MTRES1,51250,Mtres1,  MGI:1915101
